var,type,lat.box,lon.box,rmse,spread,count,cr
t,187,-39.5,286.5,3.03657256554983,2.50336517409705,45360,0.824404857798538
t,181,-39.5,286.5,12.8447876490928,3.42231402095053,68640,0.266436013926027
t,187,-34.5,286.5,9.29456900357069,6.03924480098062,17439,0.649760607367649
t,181,-34.5,286.5,5.833734912843,3.83037146129667,4140,0.656589906556105
t,187,-29.5,286.5,7.34439617020299,8.85573255895703,4260,1.20578089113516
t,181,-29.5,286.5,0.894696570841844,2.69982055421932,1380,3.01758232031558
t,187,-29.5,291.5,20.2090520973964,12.1665333930371,138400,0.602033847723344
t,181,-24.5,291.5,34.231934433795,12.6339210202744,3600,0.369068275843674
t,187,-24.5,291.5,27.934962461996,15.5591125829201,38167,0.556976319695703
t,131,-39.5,286.5,3.47303502380751,2.84872882728286,7260,0.82024189441078
t,131,-39.5,291.5,37.4361588053773,37.0043809970693,26580,0.988466289756042
t,181,-39.5,291.5,11.445506449376,4.39063496580132,153299,0.383612117578311
t,181,-34.5,291.5,35.034602817796,15.2014592926848,101707,0.433898433835337
t,187,-34.5,291.5,16.2296492687407,6.93394840659268,687684,0.427239571957227
t,181,-29.5,291.5,32.6509235486067,33.0210718322054,28800,1.01133653334638
t,181,-19.5,291.5,32.3512709178685,69.7514737768082,2100,2.1560659534486
t,187,-19.5,291.5,28.3689200096917,48.6965069088462,5038,1.71654426365931
t,181,-39.5,296.5,28.5666123356213,51.6814358755734,50818,1.80915522178067
t,131,-39.5,296.5,622.439880408582,427.54754515129,6600,0.686889703903034
t,187,-39.5,291.5,22.0503872378695,10.8652950251502,27708,0.492748490443291
t,181,-34.5,296.5,19.1577383914304,23.9111129143527,242363,1.24811772798028
t,187,-34.5,296.5,8.71830130511933,5.5703038216994,3535462,0.638920774443589
t,181,-29.5,296.5,9.96256808381767,10.8353433413826,607980,1.08760544974168
t,187,-29.5,296.5,11.8012517520186,6.42390087215054,2419982,0.544340634971349
t,181,-24.5,296.5,12.1065641970932,15.3244092956909,435610,1.26579341968634
t,187,-24.5,296.5,19.7081324802718,17.4849309963764,182001,0.887193701071329
t,187,-19.5,296.5,15.8347378773336,29.1648813882978,8988,1.84182912367911
t,181,-19.5,296.5,56.498466748757,72.2587339617379,32640,1.27895035245939
t,187,-39.5,296.5,15.5699076346117,15.9413542383724,244158,1.02385669924817
t,181,-39.5,301.5,39.5970844770009,67.5205133934249,79341,1.70518901290934
t,187,-39.5,301.5,38.8324546791471,60.3311248999932,86753,1.55362635193883
t,131,-34.5,301.5,169.851005942817,144.134949680585,109613,0.848596385287877
t,131,-39.5,301.5,657.261272691491,548.770932018863,2160,0.834935747502117
t,181,-34.5,301.5,16.6700007184909,20.5096785521057,615063,1.23033459316866
t,187,-34.5,301.5,11.1014245193012,10.5063871395525,1119877,0.946399907623195
t,131,-34.5,296.5,511.186689487117,472.693559769749,8040,0.924698489790513
t,131,-29.5,296.5,484.847893993223,248.2930416527,16440,0.512105022479835
