var,type,nivel.error,date,rmsi,spread,bias,count,cr
t,131,900,2018-11-20T18:00:00Z,0.756537621298826,2.18297712107261,-0.628252208333333,720,2.8854838934842
t,131,850,2018-11-20T18:00:00Z,0.468202273760267,2.38826023075374,-0.087787537037037,540,5.10091549016398
t,131,800,2018-11-20T18:00:00Z,0.0797380773030222,1.62984582462515,0.304916621428571,420,20.4399940373703
t,131,750,2018-11-20T18:00:00Z,0.461438058393754,6.80118772966604,1.02351075,720,14.7391130964374
t,131,700,2018-11-20T18:00:00Z,0.363827414854912,45.2573738704034,0.83577330952381,420,124.392423502366
t,131,400,2018-11-20T18:00:00Z,0,1.34350520971896,0.203186166666667,60,Inf
t,131,250,2018-11-20T18:00:00Z,0.699432192120569,1.39886264901513,-0.773554708333333,720,1.9999975190933
t,131,350,2018-11-20T18:00:00Z,0.129607199972158,12.4661128026384,-0.532083333333333,120,96.1837984719704
t,131,200,2018-11-20T18:00:00Z,0.143368255357899,62.1353129590642,-0.612350777777778,180,433.39658980959
t,131,300,2018-11-20T18:00:00Z,0.282165112528002,90.3857918580092,-0.903372333333333,300,320.329437782778
t,131,550,2018-11-20T18:00:00Z,0.0786260543775455,55.8994387635666,-0.176195,60,710.953121151793
t,131,1000,2018-11-20T18:00:00Z,0.267752792758923,24.3827308087101,-1.79134675,240,91.0643379569288
t,131,950,2018-11-20T18:00:00Z,0.164268310183179,2.89497283442865,-1.47342040909091,660,17.6234407671231
t,131,600,2018-11-20T18:00:00Z,0.0658020073092034,3.38411461621889,-0.929050408333333,60,51.4287444198616
u,231,900,2018-11-20T18:00:00Z,1.54084327404774,9.98311904530206,2.55794138888889,720,6.47899706183404
u,231,850,2018-11-20T18:00:00Z,4.29820508102949,10.4381753384911,2.65880148148148,540,2.42849634712891
u,231,800,2018-11-20T18:00:00Z,2.76688081427065,10.359176134059,2.00566547619048,420,3.74399073520977
u,231,750,2018-11-20T18:00:00Z,7.76522651967195,17.0165829733542,3.38561430555556,720,2.19138268925516
u,231,700,2018-11-20T18:00:00Z,16.056361622869,23.350099354607,1.5223800952381,420,1.45425843681483
u,231,400,2018-11-20T18:00:00Z,1.46863708209536,14.0479290416132,-2.26751833333333,60,9.56528281416571
u,231,250,2018-11-20T18:00:00Z,10.7680513509997,17.2855598390921,-1.71893808683473,714,1.60526350364101
u,231,350,2018-11-20T18:00:00Z,3.83698820445423,46.7633266418756,1.67677916666667,120,12.1875085744568
u,231,200,2018-11-20T18:00:00Z,3.88352558311658,25.5688434169804,0.738441666666667,180,6.58392557735157
u,231,300,2018-11-20T18:00:00Z,5.55034757319306,55.3952340666372,1.011632,300,9.98049821855912
u,231,550,2018-11-20T18:00:00Z,2.21403306194406,26.7743575563447,-0.876233333333333,60,12.0930251749878
u,231,1000,2018-11-20T18:00:00Z,2.08473620366519,17.682198519604,0.87889725,240,8.48174387172669
u,231,950,2018-11-20T18:00:00Z,3.19819731786467,11.1101676823564,1.29567893939394,660,3.4738843723921
u,231,600,2018-11-20T18:00:00Z,0.0644324383593832,11.9890818071444,0.340424666666667,60,186.072141803376
v,231,900,2018-11-20T18:00:00Z,6.10467871833124,10.0319465263922,1.06421527777778,720,1.64332096565017
v,231,850,2018-11-20T18:00:00Z,7.39877235269534,10.1602545658857,-1.32302388888889,540,1.37323519113065
v,231,800,2018-11-20T18:00:00Z,3.86729361348518,9.8437104673844,-1.77780492857143,420,2.54537447921191
v,231,750,2018-11-20T18:00:00Z,5.58716648566457,12.0592762992559,-1.72342439166667,720,2.15838857320563
v,231,700,2018-11-20T18:00:00Z,4.31158699345797,17.7892102966618,0.087,420,4.12590777448156
v,231,400,2018-11-20T18:00:00Z,2.20535912482988,13.3460206930828,1.92971666666667,60,6.0516314748113
v,231,250,2018-11-20T18:00:00Z,14.6424889701324,15.5568035457659,3.33054341736695,714,1.06244256543396
v,231,350,2018-11-20T18:00:00Z,0.489830263284519,17.8057786533786,2.0110475,120,36.3509157927144
v,231,200,2018-11-20T18:00:00Z,0.952553742136023,18.9706781143952,-1.37096688888889,180,19.9155987481137
v,231,300,2018-11-20T18:00:00Z,2.43449981049978,19.8121583428575,0.478056,300,8.13808169440367
v,231,550,2018-11-20T18:00:00Z,2.13434414939245,22.0604580313554,-0.6261,60,10.3359423257186
v,231,1000,2018-11-20T18:00:00Z,2.16263101603288,13.4172846304198,1.65161525,240,6.20414880344796
v,231,950,2018-11-20T18:00:00Z,1.64681035746589,10.3117386410595,1.95052493939394,660,6.26164305702281
v,231,600,2018-11-20T18:00:00Z,3.49139817870809,10.5905755177299,-1.7817,60,3.03333363187142
t,131,550,2018-11-20T19:00:00Z,0.271006091155934,49.0714023976281,0.0561599366666667,300,181.071215736597
t,131,650,2018-11-20T19:00:00Z,0.259109264372286,35.6992011339825,0.1336335,360,137.776629563852
t,131,600,2018-11-20T19:00:00Z,0.0871177627786347,37.1521108837683,0.490328583333333,120,426.458505117623
t,131,800,2018-11-20T19:00:00Z,0.34237883839318,15.1205642011759,1.1811725,120,44.163255743662
t,131,750,2018-11-20T19:00:00Z,1.96832776799916,21.9245715089297,-0.402017555555556,180,11.1386791698907
t,131,850,2018-11-20T19:00:00Z,0.890897589657668,5.72712368982645,0.495303,240,6.4284871306332
t,131,900,2018-11-20T19:00:00Z,2.8244284673308,66.2305540273448,0.145391666666667,360,23.4491879661358
t,131,300,2018-11-20T19:00:00Z,0.21953936320301,82.0406650531499,-0.374746333333333,300,373.694556894957
