var,type,rmsi,spread,bias,count,cr
t,187,7.18456337879631,7.47009773994727,-0.306492104331396,11121936,1.03974275764532
t,181,6.79597274090049,105.618956972173,0.246905895972688,3743455,15.541403857688
u,287,3.15211240224427,41.8808221927941,0.78017550080597,4876799,13.2865890705469
u,281,4.05566433678375,28.5210151058297,0.326663840878652,3634099,7.03239043900946
v,287,4.38422065481,10.3559121321557,0.578280620077091,4876799,2.36208734630955
v,281,3.56745563472019,9.87878353529475,0.47606556894911,3634099,2.76913984273544
