var,type,mean.y,sd.y
t,187,-0.139458471115362,1.54452373549692
t,181,0.101586519800296,1.45719947247482
u,287,0.286859300019659,0.816020063722335
u,281,0.146230649698997,0.881982249923341
v,287,0.249643155042242,0.978696223557928
v,281,0.197159469979792,0.896670081255647
