var,type,date,mean.y,sd.y
t,187,2018-11-20T18:00:00Z,1.5615781641732,1.10470659002516
t,181,2018-11-20T18:00:00Z,1.305257317184,1.79008737108295
u,287,2018-11-20T18:00:00Z,0.294089342135853,0.961147032205692
u,281,2018-11-20T18:00:00Z,0.219333557002385,1.19524813562437
v,287,2018-11-20T18:00:00Z,1.00939343773812,1.05518998119633
v,281,2018-11-20T18:00:00Z,0.62312909968811,0.998033612201679
t,187,2018-11-20T19:00:00Z,1.21505128224023,0.955304023704537
t,181,2018-11-20T19:00:00Z,0.722231725740495,1.23604117545098
u,287,2018-11-20T19:00:00Z,0.226413023341552,0.852080217738808
u,281,2018-11-20T19:00:00Z,0.262808102468512,1.06797585677234
v,287,2018-11-20T19:00:00Z,0.880056355616102,0.989047530895034
v,281,2018-11-20T19:00:00Z,0.659910473439555,0.887365543497673
t,187,2018-11-20T20:00:00Z,0.978707378350632,0.901346362891014
t,181,2018-11-20T20:00:00Z,0.601641429562795,1.34828592088423
u,287,2018-11-20T20:00:00Z,0.327041144020276,0.891743558662483
u,281,2018-11-20T20:00:00Z,0.350973279244985,1.08791972148011
v,287,2018-11-20T20:00:00Z,0.782331162558555,0.971551127358358
v,281,2018-11-20T20:00:00Z,0.606070370499688,0.847498575041072
t,187,2018-11-20T21:00:00Z,0.665922654226386,0.945252393048281
t,181,2018-11-20T21:00:00Z,0.40799855519496,1.30110508711422
u,287,2018-11-20T21:00:00Z,0.485031125539875,0.954829856034064
u,281,2018-11-20T21:00:00Z,0.34908527232208,1.14020693564769
v,287,2018-11-20T21:00:00Z,0.799104417746652,0.989948863571987
v,281,2018-11-20T21:00:00Z,0.503051479658813,0.833690267968298
t,187,2018-11-20T22:00:00Z,0.0535777182867274,1.10140520417501
t,181,2018-11-20T22:00:00Z,-0.131324307608797,1.35277047783656
u,287,2018-11-20T22:00:00Z,0.751913209252171,0.987732604812152
u,281,2018-11-20T22:00:00Z,0.392339621238926,1.13962660620348
v,287,2018-11-20T22:00:00Z,0.800995050211534,0.971357244883275
v,281,2018-11-20T22:00:00Z,0.652574113151976,0.853877069474187
t,187,2018-11-20T23:00:00Z,-0.573025150848217,1.20930530163246
t,181,2018-11-20T23:00:00Z,-0.571464212715438,1.20210890933663
u,287,2018-11-20T23:00:00Z,0.997848280774752,0.996106874047418
u,281,2018-11-20T23:00:00Z,0.427544842607847,1.20257572157099
v,287,2018-11-20T23:00:00Z,0.900325398626097,0.847529325332604
v,281,2018-11-20T23:00:00Z,0.657867689946139,0.749787139963157
t,181,2018-11-21T00:00:00Z,-0.125591624519852,1.26439049259966
t,187,2018-11-21T00:00:00Z,-0.491427042317519,1.16865917439143
u,281,2018-11-21T00:00:00Z,0.367639886880876,0.995336566006195
u,287,2018-11-21T00:00:00Z,0.905189430952765,0.898986482833205
v,281,2018-11-21T00:00:00Z,0.570157422826875,0.743192317446651
v,287,2018-11-21T00:00:00Z,0.771662901392678,0.830035974202859
t,187,2018-11-21T01:00:00Z,-0.388113564796151,1.27717367504843
t,181,2018-11-21T01:00:00Z,-0.118892116782714,1.45684756100893
u,287,2018-11-21T01:00:00Z,0.782016012278745,1.04597967984112
u,281,2018-11-21T01:00:00Z,0.394653113160211,1.07918508273062
v,287,2018-11-21T01:00:00Z,0.67628933137912,0.703272738842726
v,281,2018-11-21T01:00:00Z,0.501907084955453,0.681363749264891
t,187,2018-11-21T02:00:00Z,-0.297962344544433,1.15272000827037
t,181,2018-11-21T02:00:00Z,0.0104139586243971,1.11825647349169
u,287,2018-11-21T02:00:00Z,0.635001062873506,0.841134547251036
u,281,2018-11-21T02:00:00Z,0.37297199375139,0.90198111220945
v,287,2018-11-21T02:00:00Z,0.726183989661325,0.704436408952377
v,281,2018-11-21T02:00:00Z,0.476641175523447,0.653689379587877
t,181,2018-11-21T03:00:00Z,0.0877539253375039,1.12822304567765
t,187,2018-11-21T03:00:00Z,-0.358613125395208,1.09056340547925
u,281,2018-11-21T03:00:00Z,0.282783321469514,0.851043711291034
u,287,2018-11-21T03:00:00Z,0.487464002949777,0.77605290053023
v,281,2018-11-21T03:00:00Z,0.485945404695957,0.707549949001415
v,287,2018-11-21T03:00:00Z,0.869966815820374,0.781949295326536
t,187,2018-11-21T04:00:00Z,-0.436371290013663,1.12573737316243
t,181,2018-11-21T04:00:00Z,0.0249505525250823,1.11996598373053
u,287,2018-11-21T04:00:00Z,0.330013482978607,0.771462299531992
u,281,2018-11-21T04:00:00Z,0.307192282770836,0.865383497927615
v,287,2018-11-21T04:00:00Z,0.898110480037283,0.839010448262159
v,281,2018-11-21T04:00:00Z,0.528325060461444,0.712279937248733
t,187,2018-11-21T05:00:00Z,-0.506787878512789,1.13417113005535
t,181,2018-11-21T05:00:00Z,-0.0926696910693898,1.01646399109022
u,287,2018-11-21T05:00:00Z,0.26349529633397,0.699527669792611
u,281,2018-11-21T05:00:00Z,0.259553774609291,0.787393778085383
v,287,2018-11-21T05:00:00Z,0.918706928586463,0.834966278589598
v,281,2018-11-21T05:00:00Z,0.465554943462695,0.720594320527524
t,187,2018-11-21T06:00:00Z,-0.57028849604494,1.09954655503353
t,181,2018-11-21T06:00:00Z,-0.0722195232348977,1.04012648708677
u,287,2018-11-21T06:00:00Z,0.256001432120299,0.586824563193829
u,281,2018-11-21T06:00:00Z,0.20046570600629,0.691031868888301
v,287,2018-11-21T06:00:00Z,0.962387093384925,0.81257466474465
v,281,2018-11-21T06:00:00Z,0.484524680386994,0.684064763756111
