exp,init_date,date,fss,w,q
E4,2018-11-22T00:00:00Z,2018-11-22T16:00:00Z,0,40,25
E4,2018-11-22T00:00:00Z,2018-11-22T17:00:00Z,0.466165528756199,4,1
E4,2018-11-22T00:00:00Z,2018-11-22T17:00:00Z,0.746596587051426,40,1
E4,2018-11-22T00:00:00Z,2018-11-22T17:00:00Z,0,4,25
E4,2018-11-22T00:00:00Z,2018-11-22T17:00:00Z,0,40,25
E4,2018-11-22T00:00:00Z,2018-11-22T18:00:00Z,0.628824012384017,4,1
E4,2018-11-22T00:00:00Z,2018-11-22T18:00:00Z,0.905124129531058,40,1
E4,2018-11-22T00:00:00Z,2018-11-22T18:00:00Z,0.0195712794895043,4,25
E4,2018-11-22T00:00:00Z,2018-11-22T18:00:00Z,0.0600329950431088,40,25
E4,2018-11-22T00:00:00Z,2018-11-22T19:00:00Z,0.674374276614675,4,1
E4,2018-11-22T00:00:00Z,2018-11-22T19:00:00Z,0.900201117058858,40,1
E4,2018-11-22T00:00:00Z,2018-11-22T19:00:00Z,0.000326035883125631,4,25
E4,2018-11-22T00:00:00Z,2018-11-22T19:00:00Z,0.0554491618352737,40,25
E4,2018-11-22T00:00:00Z,2018-11-22T20:00:00Z,0.639112363702196,4,1
E4,2018-11-22T00:00:00Z,2018-11-22T20:00:00Z,0.864069254281619,40,1
E4,2018-11-22T00:00:00Z,2018-11-22T20:00:00Z,0.00767793617075729,4,25
E4,2018-11-22T00:00:00Z,2018-11-22T20:00:00Z,0.0832079786646211,40,25
E4,2018-11-22T00:00:00Z,2018-11-22T21:00:00Z,0.603364927107076,4,1
E4,2018-11-22T00:00:00Z,2018-11-22T21:00:00Z,0.828248172612192,40,1
E4,2018-11-22T00:00:00Z,2018-11-22T21:00:00Z,0.00609969751793105,4,25
E4,2018-11-22T00:00:00Z,2018-11-22T21:00:00Z,0.167929553249035,40,25
E4,2018-11-22T00:00:00Z,2018-11-22T22:00:00Z,0.527096091550473,4,1
E4,2018-11-22T00:00:00Z,2018-11-22T22:00:00Z,0.774482166786677,40,1
E4,2018-11-22T00:00:00Z,2018-11-22T22:00:00Z,0.00512252526650958,4,25
E4,2018-11-22T00:00:00Z,2018-11-22T22:00:00Z,0.27643948573816,40,25
E4,2018-11-22T00:00:00Z,2018-11-22T23:00:00Z,0.518460126452829,4,1
E4,2018-11-22T00:00:00Z,2018-11-22T23:00:00Z,0.787368210564097,40,1
E4,2018-11-22T00:00:00Z,2018-11-22T23:00:00Z,0.00869174284429786,4,25
E4,2018-11-22T00:00:00Z,2018-11-22T23:00:00Z,0.533835553411455,40,25
E4,2018-11-22T00:00:00Z,2018-11-23T00:00:00Z,0.509492935447152,4,1
E4,2018-11-22T00:00:00Z,2018-11-23T00:00:00Z,0.837147462235148,40,1
E4,2018-11-22T00:00:00Z,2018-11-23T00:00:00Z,0.0407326057415369,4,25
E4,2018-11-22T00:00:00Z,2018-11-23T00:00:00Z,0.777632272856054,40,25
E4,2018-11-22T00:00:00Z,2018-11-23T01:00:00Z,0.511347339214155,4,1
E4,2018-11-22T00:00:00Z,2018-11-23T01:00:00Z,0.848070726598248,40,1
E4,2018-11-22T00:00:00Z,2018-11-23T01:00:00Z,0.0162710160746959,4,25
E4,2018-11-22T00:00:00Z,2018-11-23T01:00:00Z,0.860516900186655,40,25
E4,2018-11-22T00:00:00Z,2018-11-23T02:00:00Z,0.504325725384706,4,1
E4,2018-11-22T00:00:00Z,2018-11-23T02:00:00Z,0.870448779815606,40,1
E4,2018-11-22T00:00:00Z,2018-11-23T02:00:00Z,0.00603028780862214,4,25
E4,2018-11-22T00:00:00Z,2018-11-23T02:00:00Z,0.752311750198859,40,25
E4,2018-11-22T00:00:00Z,2018-11-23T03:00:00Z,0.516562346207552,4,1
E4,2018-11-22T00:00:00Z,2018-11-23T03:00:00Z,0.904780406598191,40,1
E4,2018-11-22T00:00:00Z,2018-11-23T03:00:00Z,2.05995970490314e-05,4,25
E4,2018-11-22T00:00:00Z,2018-11-23T03:00:00Z,0.812836696099188,40,25
E4,2018-11-22T00:00:00Z,2018-11-23T04:00:00Z,0.53650840041884,4,1
E4,2018-11-22T00:00:00Z,2018-11-23T04:00:00Z,0.933502796573024,40,1
E4,2018-11-22T00:00:00Z,2018-11-23T04:00:00Z,0.00260507423679068,4,25
E4,2018-11-22T00:00:00Z,2018-11-23T04:00:00Z,0.860986700059505,40,25
E4,2018-11-22T00:00:00Z,2018-11-23T05:00:00Z,0.541347604637215,4,1
E4,2018-11-22T00:00:00Z,2018-11-23T05:00:00Z,0.952288569124754,40,1
E4,2018-11-22T00:00:00Z,2018-11-23T05:00:00Z,0.0241042317012059,4,25
E4,2018-11-22T00:00:00Z,2018-11-23T05:00:00Z,0.909045877948004,40,25
E4,2018-11-22T00:00:00Z,2018-11-23T06:00:00Z,0.438574001620937,4,1
E4,2018-11-22T00:00:00Z,2018-11-23T06:00:00Z,0.960382036861933,40,1
E4,2018-11-22T00:00:00Z,2018-11-23T06:00:00Z,0.0197667308262111,4,25
E4,2018-11-22T00:00:00Z,2018-11-23T06:00:00Z,0.923561953986285,40,25
E4,2018-11-22T00:00:00Z,2018-11-23T07:00:00Z,0.465512527139313,4,1
E4,2018-11-22T00:00:00Z,2018-11-23T07:00:00Z,0.964015197879547,40,1
E4,2018-11-22T00:00:00Z,2018-11-23T07:00:00Z,0.0379783798132938,4,25
E4,2018-11-22T00:00:00Z,2018-11-23T07:00:00Z,0.933748980636031,40,25
E4,2018-11-22T00:00:00Z,2018-11-23T08:00:00Z,0.478320386011429,4,1
E4,2018-11-22T00:00:00Z,2018-11-23T08:00:00Z,0.96656812387557,40,1
E4,2018-11-22T00:00:00Z,2018-11-23T08:00:00Z,0.0249469275651084,4,25
E4,2018-11-22T00:00:00Z,2018-11-23T08:00:00Z,0.942167334915998,40,25
E4,2018-11-22T00:00:00Z,2018-11-23T09:00:00Z,0.441609193724413,4,1
E4,2018-11-22T00:00:00Z,2018-11-23T09:00:00Z,0.966836069470055,40,1
E4,2018-11-22T00:00:00Z,2018-11-23T09:00:00Z,0.019131878017403,4,25
E4,2018-11-22T00:00:00Z,2018-11-23T09:00:00Z,0.943187234862866,40,25
E4,2018-11-22T00:00:00Z,2018-11-23T10:00:00Z,0.475879093578692,4,1
E4,2018-11-22T00:00:00Z,2018-11-23T10:00:00Z,0.970568917251913,40,1
E4,2018-11-22T00:00:00Z,2018-11-23T10:00:00Z,0.0442978756690644,4,25
E4,2018-11-22T00:00:00Z,2018-11-23T10:00:00Z,0.960133678567677,40,25
E4,2018-11-22T00:00:00Z,2018-11-23T11:00:00Z,0.449835146791662,4,1
E4,2018-11-22T00:00:00Z,2018-11-23T11:00:00Z,0.958252437198349,40,1
E4,2018-11-22T00:00:00Z,2018-11-23T11:00:00Z,0.106993077671272,4,25
E4,2018-11-22T00:00:00Z,2018-11-23T11:00:00Z,0.961637127113157,40,25
E4,2018-11-22T00:00:00Z,2018-11-23T12:00:00Z,0.525446104011074,4,1
E4,2018-11-22T00:00:00Z,2018-11-23T12:00:00Z,0.961860164014652,40,1
E4,2018-11-22T00:00:00Z,2018-11-23T12:00:00Z,0.349251072200187,4,25
E4,2018-11-22T00:00:00Z,2018-11-23T12:00:00Z,0.935857895190985,40,25
