var,type,nivel.error,date,mean.y,sd.y
u,231,250,2018-11-20T19:00:00Z,0.705630234734964,0.648303868437841
v,231,550,2018-11-20T19:00:00Z,0.578453083160251,0.869931477259076
v,231,650,2018-11-20T19:00:00Z,-0.122128747088452,0.915340575548784
v,231,600,2018-11-20T19:00:00Z,1.02816729785843,0.432484800053215
v,231,800,2018-11-20T19:00:00Z,0.142435269861545,0.36092814885479
v,231,750,2018-11-20T19:00:00Z,-0.0585384708592138,0.515229690870351
v,231,850,2018-11-20T19:00:00Z,-0.0411522633542071,0.268101244686858
v,231,900,2018-11-20T19:00:00Z,-0.422972482185401,0.695835439925049
v,231,300,2018-11-20T19:00:00Z,-0.00807829839645484,0.678945175327061
v,231,350,2018-11-20T19:00:00Z,0.0773328498095867,0.483197014769986
v,231,950,2018-11-20T19:00:00Z,-0.0311851192504061,0.678520693300575
v,231,1000,2018-11-20T19:00:00Z,0.319603750802943,0.96457695379609
v,231,400,2018-11-20T19:00:00Z,0.811917052415172,0.351081272774397
v,231,450,2018-11-20T19:00:00Z,0.589467514055619,0.426301028694115
v,231,500,2018-11-20T19:00:00Z,1.0887201244879,0.640990440153894
v,231,700,2018-11-20T19:00:00Z,-0.240842286069047,0.682807144313587
v,231,250,2018-11-20T19:00:00Z,-0.362016772719379,1.54379466733242
t,131,300,2018-11-20T20:00:00Z,0.10814258585903,0.961401316730073
t,131,400,2018-11-20T20:00:00Z,-0.0455600954775439,1.03502677786403
t,131,450,2018-11-20T20:00:00Z,0.304416684751953,0.900719951807286
t,131,500,2018-11-20T20:00:00Z,-0.580504432046614,1.06115636427452
t,131,550,2018-11-20T20:00:00Z,0.137647878046987,1.1801432898756
t,131,600,2018-11-20T20:00:00Z,0.194753447480316,0.998672199304116
t,131,350,2018-11-20T20:00:00Z,-0.125463385508774,0.859076094173303
t,131,250,2018-11-20T20:00:00Z,-0.875484957864618,1.04914929176854
t,131,650,2018-11-20T20:00:00Z,-0.0695789871193833,1.00926636405495
t,131,700,2018-11-20T20:00:00Z,0.348440425506206,1.00311623236691
t,131,750,2018-11-20T20:00:00Z,0.61437410420827,0.92713938031582
t,131,900,2018-11-20T20:00:00Z,0.630533863606338,1.22392543866493
t,131,950,2018-11-20T20:00:00Z,0.120566956885771,1.05950774557698
t,131,850,2018-11-20T20:00:00Z,0.218876663665788,1.07763893432606
t,131,800,2018-11-20T20:00:00Z,-0.325345999807599,0.917897883998395
t,131,200,2018-11-20T20:00:00Z,0.116264235785129,0.311399250772558
t,131,1000,2018-11-20T20:00:00Z,0.372564945398733,0.440759262068392
u,231,300,2018-11-20T20:00:00Z,0.272735318333214,0.528738074115835
u,231,400,2018-11-20T20:00:00Z,-0.191346856302353,0.717961641305767
u,231,450,2018-11-20T20:00:00Z,-0.115236529609734,0.398513174460041
u,231,500,2018-11-20T20:00:00Z,0.203109243043414,0.984553955809596
u,231,550,2018-11-20T20:00:00Z,-0.173903569275241,0.423474004009621
u,231,600,2018-11-20T20:00:00Z,0.171572464280673,0.603005920711597
u,231,350,2018-11-20T20:00:00Z,-0.334079919104916,0.335000696982022
u,231,250,2018-11-20T20:00:00Z,-0.0146061813463976,0.661907795304007
u,231,650,2018-11-20T20:00:00Z,0.0968487606241168,0.462344992181693
u,231,700,2018-11-20T20:00:00Z,0.228257625216661,0.413072882473118
u,231,750,2018-11-20T20:00:00Z,0.304391314722158,0.390509203658453
u,231,900,2018-11-20T20:00:00Z,-0.512683912751261,1.08953951872964
u,231,950,2018-11-20T20:00:00Z,-0.386956700080525,0.77251372033134
u,231,850,2018-11-20T20:00:00Z,0.308629782851986,0.961250940518629
u,231,200,2018-11-20T20:00:00Z,0.309562834036817,0.477928640582977
u,231,800,2018-11-20T20:00:00Z,0.311876781131917,0.595652178133642
u,231,1000,2018-11-20T20:00:00Z,-0.499647086197622,0.914200811846991
v,231,300,2018-11-20T20:00:00Z,0.569852933958914,0.862751183712973
v,231,400,2018-11-20T20:00:00Z,0.342074871517243,0.546931415424788
v,231,450,2018-11-20T20:00:00Z,0.365836880962631,0.582683586646612
v,231,500,2018-11-20T20:00:00Z,0.600021042036258,0.753646642190075
v,231,550,2018-11-20T20:00:00Z,0.868607848597524,0.531842083813275
v,231,600,2018-11-20T20:00:00Z,0.666736052458093,0.699210276607334
v,231,350,2018-11-20T20:00:00Z,0.128915999445927,0.744027160717462
v,231,250,2018-11-20T20:00:00Z,-0.0856227989972182,0.599211336570053
v,231,650,2018-11-20T20:00:00Z,0.239614109249076,0.544430295746283
v,231,700,2018-11-20T20:00:00Z,-0.310977535873051,0.574006732016196
v,231,750,2018-11-20T20:00:00Z,0.150957006439277,0.42956554266579
v,231,900,2018-11-20T20:00:00Z,0.0115033106591563,0.910922178839097
v,231,950,2018-11-20T20:00:00Z,-0.00823273966737154,0.525529977408425
v,231,850,2018-11-20T20:00:00Z,-0.532841213132976,1.22342192882891
v,231,200,2018-11-20T20:00:00Z,1.12624568065603,0.434324629441756
v,231,800,2018-11-20T20:00:00Z,0.294327035978439,0.732824474865241
v,231,1000,2018-11-20T20:00:00Z,-0.0502049605407137,0.648781211364147
t,131,850,2018-11-20T21:00:00Z,-0.244641513935787,1.38622849148565
t,131,800,2018-11-20T21:00:00Z,0.00888451538606373,1.03584960876898
t,131,750,2018-11-20T21:00:00Z,-0.238084889103589,0.824344043188792
t,131,700,2018-11-20T21:00:00Z,0.0237407370903988,1.23567682991073
t,131,550,2018-11-20T21:00:00Z,-0.070603045754971,0.902270537311938
t,131,250,2018-11-20T21:00:00Z,-0.47592985091067,1.04767255776104
t,131,200,2018-11-20T21:00:00Z,-1.27321956101606,0.0549381003010074
t,131,650,2018-11-20T21:00:00Z,0.215225402426097,0.789850090417477
t,131,950,2018-11-20T21:00:00Z,-0.967904676677609,0.755545265323616
t,131,900,2018-11-20T21:00:00Z,-0.491159186160337,1.05411797003383
t,131,300,2018-11-20T21:00:00Z,-0.491831133842843,0.723844750487277
t,131,350,2018-11-20T21:00:00Z,-0.0838929006603591,0.721146278786883
t,131,400,2018-11-20T21:00:00Z,-0.457752903598151,0.740025787490408
t,131,450,2018-11-20T21:00:00Z,-0.183411222579754,0.702796847951099
t,131,500,2018-11-20T21:00:00Z,-0.125714372228778,0.712048527939189
t,131,600,2018-11-20T21:00:00Z,-0.305893313200969,0.120258887290315
t,131,1000,2018-11-20T21:00:00Z,-0.462308617859782,0.891098297226736
u,231,850,2018-11-20T21:00:00Z,0.89704694475057,0.840539204411056
u,231,800,2018-11-20T21:00:00Z,0.294438886493006,0.695512453810289
u,231,750,2018-11-20T21:00:00Z,0.362495816487616,0.711525183154836
u,231,700,2018-11-20T21:00:00Z,-0.0540646160521459,0.546707366887214
u,231,550,2018-11-20T21:00:00Z,-0.0328370907256368,0.708021520870006
u,231,250,2018-11-20T21:00:00Z,-0.235811736476764,1.49675903723231
u,231,200,2018-11-20T21:00:00Z,0.0563823697032439,0.20034309114954
u,231,650,2018-11-20T21:00:00Z,-0.442218028556656,0.527075683586683
u,231,950,2018-11-20T21:00:00Z,-0.00347630927574889,1.01976041239758
u,231,900,2018-11-20T21:00:00Z,0.364560145127181,0.707131315922361
u,231,300,2018-11-20T21:00:00Z,-0.411340368193563,0.795068784133852
u,231,350,2018-11-20T21:00:00Z,-0.0794410358672253,0.458644970457643
u,231,400,2018-11-20T21:00:00Z,-0.334821122079693,0.60988547753503
u,231,450,2018-11-20T21:00:00Z,0.00848003061664365,0.519226932264614
u,231,500,2018-11-20T21:00:00Z,-0.42618248708555,0.323958580277846
u,231,600,2018-11-20T21:00:00Z,-0.335370573749382,0.0306835608865329
u,231,1000,2018-11-20T21:00:00Z,0.435824842795974,0.758866132547702
v,231,850,2018-11-20T21:00:00Z,-0.199725904871734,0.425388650151736
v,231,800,2018-11-20T21:00:00Z,-0.23795895209335,0.639182522251228
v,231,750,2018-11-20T21:00:00Z,-0.264590062600826,0.834724369096324
v,231,700,2018-11-20T21:00:00Z,0.00905407430618645,0.767072674402336
v,231,550,2018-11-20T21:00:00Z,0.590127173657517,0.552253649116879
v,231,250,2018-11-20T21:00:00Z,0.998999970449023,1.80314451178323
v,231,200,2018-11-20T21:00:00Z,1.15974466763725,0.346445002312004
v,231,650,2018-11-20T21:00:00Z,-0.479151471632118,0.653254304399904
v,231,950,2018-11-20T21:00:00Z,-0.138512128882983,0.546019727443901
v,231,900,2018-11-20T21:00:00Z,-0.2612443906344,0.594587016596687
v,231,300,2018-11-20T21:00:00Z,-0.143733365600159,1.03984908733096
v,231,350,2018-11-20T21:00:00Z,-0.182850455613859,0.359053804301078
v,231,400,2018-11-20T21:00:00Z,0.256309247078439,0.532445191013898
v,231,450,2018-11-20T21:00:00Z,0.316899637949922,0.384400086386085
v,231,500,2018-11-20T21:00:00Z,-0.639556514250691,0.182140135594539
v,231,600,2018-11-20T21:00:00Z,0.192911203813556,0.114494473130225
v,231,1000,2018-11-20T21:00:00Z,0.476959890780369,0.578143019195189
t,131,900,2018-11-20T22:00:00Z,0.59505377851684,1.22999421518393
t,131,850,2018-11-20T22:00:00Z,0.353045309484165,0.705284766633993
t,131,800,2018-11-20T22:00:00Z,0.0957530892236367,0.679929175723796
t,131,750,2018-11-20T22:00:00Z,-0.434509539909358,0.73448303840892
t,131,700,2018-11-20T22:00:00Z,-0.322594414921137,1.12905629816253
t,131,550,2018-11-20T22:00:00Z,-0.095925317761366,0.757265276099241
t,131,300,2018-11-20T22:00:00Z,0.774306526082929,1.12000260521051
t,131,250,2018-11-20T22:00:00Z,-0.927576782912082,1.17832179124832
t,131,600,2018-11-20T22:00:00Z,0.42508530527716,0.892322596555702
t,131,650,2018-11-20T22:00:00Z,0.349921368466977,1.16103845652947
t,131,950,2018-11-20T22:00:00Z,-0.161991474757913,0.937760992859607
t,131,400,2018-11-20T22:00:00Z,-0.132970905008903,0.630816315602917
