exp,init_date,date,fss,w,q
E5,2018-11-22T00:00:00Z,2018-11-22T12:00:00Z,0.940869690250607,40,1
E5,2018-11-22T00:00:00Z,2018-11-22T12:00:00Z,0.113276195247315,4,25
E5,2018-11-22T00:00:00Z,2018-11-22T12:00:00Z,0.721705434407249,40,25
E5,2018-11-22T00:00:00Z,2018-11-22T15:00:00Z,0.668032166732309,4,1
E5,2018-11-22T00:00:00Z,2018-11-22T15:00:00Z,0.932537378636665,40,1
E5,2018-11-22T00:00:00Z,2018-11-22T15:00:00Z,0.208511610168473,4,25
E5,2018-11-22T00:00:00Z,2018-11-22T15:00:00Z,0.495284363847471,40,25
E5,2018-11-22T00:00:00Z,2018-11-22T18:00:00Z,0.637502916565521,4,1
E5,2018-11-22T00:00:00Z,2018-11-22T18:00:00Z,0.906046964269214,40,1
E5,2018-11-22T00:00:00Z,2018-11-22T18:00:00Z,0.489262572955298,4,25
E5,2018-11-22T00:00:00Z,2018-11-22T18:00:00Z,0.753701122813805,40,25
E5,2018-11-22T00:00:00Z,2018-11-22T21:00:00Z,0.787519632682043,4,1
E5,2018-11-22T00:00:00Z,2018-11-22T21:00:00Z,0.969308848306083,40,1
E5,2018-11-22T00:00:00Z,2018-11-22T21:00:00Z,0.197448092696244,4,25
E5,2018-11-22T00:00:00Z,2018-11-22T21:00:00Z,0.331001711069324,40,25
E5,2018-11-22T00:00:00Z,2018-11-23T00:00:00Z,0.717099612781402,4,1
E5,2018-11-22T00:00:00Z,2018-11-23T00:00:00Z,0.927988932394747,40,1
E5,2018-11-22T00:00:00Z,2018-11-23T00:00:00Z,0.341418175225723,4,25
E5,2018-11-22T00:00:00Z,2018-11-23T00:00:00Z,0.621630128412235,40,25
E5,2018-11-22T00:00:00Z,2018-11-23T03:00:00Z,0.756089477551923,4,1
E5,2018-11-22T00:00:00Z,2018-11-23T03:00:00Z,0.936386100473702,40,1
E5,2018-11-22T00:00:00Z,2018-11-23T03:00:00Z,0.514674140869766,4,25
E5,2018-11-22T00:00:00Z,2018-11-23T03:00:00Z,0.898123410714495,40,25
E5,2018-11-22T00:00:00Z,2018-11-23T06:00:00Z,0.721185036297484,4,1
E5,2018-11-22T00:00:00Z,2018-11-23T06:00:00Z,0.963604780524343,40,1
E5,2018-11-22T00:00:00Z,2018-11-23T06:00:00Z,0.441792466821882,4,25
E5,2018-11-22T00:00:00Z,2018-11-23T06:00:00Z,0.967077900451901,40,25
E5,2018-11-22T00:00:00Z,2018-11-23T09:00:00Z,0.722890090770561,4,1
E5,2018-11-22T00:00:00Z,2018-11-23T09:00:00Z,0.988079736612603,40,1
E5,2018-11-22T00:00:00Z,2018-11-23T09:00:00Z,0.245795145040053,4,25
E5,2018-11-22T00:00:00Z,2018-11-23T09:00:00Z,0.98202521103567,40,25
E5,2018-11-22T00:00:00Z,2018-11-23T12:00:00Z,0.751094287313799,4,1
E5,2018-11-22T00:00:00Z,2018-11-23T12:00:00Z,0.990929273584037,40,1
E5,2018-11-22T00:00:00Z,2018-11-23T12:00:00Z,0.484517784480984,4,25
E5,2018-11-22T00:00:00Z,2018-11-23T12:00:00Z,0.993989001699006,40,25
E6,2018-11-22T00:00:00Z,2018-11-22T03:00:00Z,0.696915378816085,4,1
E6,2018-11-22T00:00:00Z,2018-11-22T03:00:00Z,0.947536378654914,40,1
E6,2018-11-22T00:00:00Z,2018-11-22T03:00:00Z,0.00894706085930364,4,25
E6,2018-11-22T00:00:00Z,2018-11-22T03:00:00Z,0.454518357590109,40,25
E6,2018-11-22T00:00:00Z,2018-11-22T06:00:00Z,0.570204328031988,4,1
E6,2018-11-22T00:00:00Z,2018-11-22T06:00:00Z,0.940707502917111,40,1
E6,2018-11-22T00:00:00Z,2018-11-22T06:00:00Z,0.0124105708862609,4,25
E6,2018-11-22T00:00:00Z,2018-11-22T06:00:00Z,0.802418914456278,40,25
E6,2018-11-22T00:00:00Z,2018-11-22T09:00:00Z,0.571984902107461,4,1
E6,2018-11-22T00:00:00Z,2018-11-22T09:00:00Z,0.946432335867073,40,1
E6,2018-11-22T00:00:00Z,2018-11-22T09:00:00Z,0.0336143150758937,4,25
E6,2018-11-22T00:00:00Z,2018-11-22T09:00:00Z,0.48493713267391,40,25
E6,2018-11-22T00:00:00Z,2018-11-22T12:00:00Z,0.628695174150873,4,1
E6,2018-11-22T00:00:00Z,2018-11-22T12:00:00Z,0.942827392304666,40,1
E6,2018-11-22T00:00:00Z,2018-11-22T12:00:00Z,0.169163880096947,4,25
E6,2018-11-22T00:00:00Z,2018-11-22T12:00:00Z,0.748680028375594,40,25
E6,2018-11-22T00:00:00Z,2018-11-22T15:00:00Z,0.678017164646335,4,1
E6,2018-11-22T00:00:00Z,2018-11-22T15:00:00Z,0.936652254447253,40,1
E6,2018-11-22T00:00:00Z,2018-11-22T15:00:00Z,0.14306556885276,4,25
E6,2018-11-22T00:00:00Z,2018-11-22T15:00:00Z,0.50892279099334,40,25
E6,2018-11-22T00:00:00Z,2018-11-22T18:00:00Z,0.617493210888502,4,1
E6,2018-11-22T00:00:00Z,2018-11-22T18:00:00Z,0.900936256842962,40,1
E6,2018-11-22T00:00:00Z,2018-11-22T18:00:00Z,0.416047763981158,4,25
E6,2018-11-22T00:00:00Z,2018-11-22T18:00:00Z,0.79117405937147,40,25
E6,2018-11-22T00:00:00Z,2018-11-22T21:00:00Z,0.774736321355926,4,1
E6,2018-11-22T00:00:00Z,2018-11-22T21:00:00Z,0.969226427352868,40,1
E6,2018-11-22T00:00:00Z,2018-11-22T21:00:00Z,0.17243139191936,4,25
E6,2018-11-22T00:00:00Z,2018-11-22T21:00:00Z,0.355482661591351,40,25
E6,2018-11-22T00:00:00Z,2018-11-23T00:00:00Z,0.700485975897627,4,1
E6,2018-11-22T00:00:00Z,2018-11-23T00:00:00Z,0.926775998189689,40,1
E6,2018-11-22T00:00:00Z,2018-11-23T00:00:00Z,0.34700613287387,4,25
E6,2018-11-22T00:00:00Z,2018-11-23T00:00:00Z,0.607279820965887,40,25
E6,2018-11-22T00:00:00Z,2018-11-23T03:00:00Z,0.733191068979279,4,1
E6,2018-11-22T00:00:00Z,2018-11-23T03:00:00Z,0.925055543342004,40,1
E6,2018-11-22T00:00:00Z,2018-11-23T03:00:00Z,0.58889413034621,4,25
E6,2018-11-22T00:00:00Z,2018-11-23T03:00:00Z,0.906095279588948,40,25
E6,2018-11-22T00:00:00Z,2018-11-23T06:00:00Z,0.716278298615725,4,1
E6,2018-11-22T00:00:00Z,2018-11-23T06:00:00Z,0.951822509875229,40,1
E6,2018-11-22T00:00:00Z,2018-11-23T06:00:00Z,0.530854212068856,4,25
E6,2018-11-22T00:00:00Z,2018-11-23T06:00:00Z,0.967728738488115,40,25
E6,2018-11-22T00:00:00Z,2018-11-23T09:00:00Z,0.730278310596455,4,1
E6,2018-11-22T00:00:00Z,2018-11-23T09:00:00Z,0.983692219819495,40,1
E6,2018-11-22T00:00:00Z,2018-11-23T09:00:00Z,0.292763263564462,4,25
E6,2018-11-22T00:00:00Z,2018-11-23T09:00:00Z,0.98508815701635,40,25
E6,2018-11-22T00:00:00Z,2018-11-23T12:00:00Z,0.783362355994828,4,1
E6,2018-11-22T00:00:00Z,2018-11-23T12:00:00Z,0.990797734988182,40,1
E6,2018-11-22T00:00:00Z,2018-11-23T12:00:00Z,0.532956153348789,4,25
E6,2018-11-22T00:00:00Z,2018-11-23T12:00:00Z,0.994214948037035,40,25
E4,2018-11-22T06:00:00Z,2018-11-22T09:00:00Z,0.474031521585099,4,1
E4,2018-11-22T06:00:00Z,2018-11-22T09:00:00Z,0.899001094594301,40,1
E4,2018-11-22T06:00:00Z,2018-11-22T09:00:00Z,0.0247022913653484,4,25
E4,2018-11-22T06:00:00Z,2018-11-22T09:00:00Z,0.42617987368138,40,25
E4,2018-11-22T06:00:00Z,2018-11-22T12:00:00Z,0.700375889727102,4,1
E4,2018-11-22T06:00:00Z,2018-11-22T12:00:00Z,0.950060418084008,40,1
E4,2018-11-22T06:00:00Z,2018-11-22T12:00:00Z,0.016305641963783,4,25
E4,2018-11-22T06:00:00Z,2018-11-22T12:00:00Z,0.180017135113621,40,25
E4,2018-11-22T06:00:00Z,2018-11-22T15:00:00Z,0.769786462675417,4,1
E4,2018-11-22T06:00:00Z,2018-11-22T15:00:00Z,0.960024664138552,40,1
E4,2018-11-22T06:00:00Z,2018-11-22T15:00:00Z,0.0102568385839601,4,25
E4,2018-11-22T06:00:00Z,2018-11-22T15:00:00Z,0.0412361842025493,40,25
E4,2018-11-22T06:00:00Z,2018-11-22T18:00:00Z,0.663504706985516,4,1
E4,2018-11-22T06:00:00Z,2018-11-22T18:00:00Z,0.926328161813789,40,1
E4,2018-11-22T06:00:00Z,2018-11-22T18:00:00Z,0.181735308219126,4,25
E4,2018-11-22T06:00:00Z,2018-11-22T18:00:00Z,0.292347983799848,40,25
E4,2018-11-22T06:00:00Z,2018-11-22T21:00:00Z,0.753364506396976,4,1
E4,2018-11-22T06:00:00Z,2018-11-22T21:00:00Z,0.97418685947694,40,1
E4,2018-11-22T06:00:00Z,2018-11-22T21:00:00Z,0.112998655148612,4,25
E4,2018-11-22T06:00:00Z,2018-11-22T21:00:00Z,0.176888007032822,40,25
E4,2018-11-22T06:00:00Z,2018-11-23T00:00:00Z,0.675942876562653,4,1
E4,2018-11-22T06:00:00Z,2018-11-23T00:00:00Z,0.925949667767055,40,1
E4,2018-11-22T06:00:00Z,2018-11-23T00:00:00Z,0.376392957206556,4,25
E4,2018-11-22T06:00:00Z,2018-11-23T00:00:00Z,0.650520166529617,40,25
E4,2018-11-22T06:00:00Z,2018-11-23T03:00:00Z,0.641167614600681,4,1
E4,2018-11-22T06:00:00Z,2018-11-23T03:00:00Z,0.909951053283734,40,1
E4,2018-11-22T06:00:00Z,2018-11-23T03:00:00Z,0.211723330449707,4,25
E4,2018-11-22T06:00:00Z,2018-11-23T03:00:00Z,0.918190230283363,40,25
E4,2018-11-22T06:00:00Z,2018-11-23T06:00:00Z,0.569737357111934,4,1
