var,type,nivel.error,rmsi,spread,bias,count,cr
t,131,900,2.8451224805794,41.8252521681044,-0.520425870471437,18030,14.7006859822734
t,131,850,2.30872660824872,26.8222979045996,-0.393592525378955,15899,11.6177887016885
t,131,800,1.18286442383861,24.8218106545316,-0.119519973937309,13080,20.9844933656728
t,131,750,1.3141937476364,42.3317183160231,0.0262738001791045,12060,32.2111700745474
t,131,700,1.2692094879581,56.6481018113183,0.17206675474359,9360,44.6325861481334
t,131,400,0.634734017946181,52.5914651367674,-0.320424383856894,11460,82.85591074343
t,131,250,1.30435906625946,27.7304996248156,-0.0759809319600592,40560,21.2598665061906
t,131,350,0.619697250712731,37.7576315460753,-0.115526945442446,16680,60.9291577502549
t,131,200,1.69525306974657,36.779475018693,-0.0131114463855422,4980,21.6955660927907
t,131,300,1.03639584939761,36.724172546035,-0.0614489192694064,17520,35.4345036863864
t,131,550,0.895009099612084,59.4178177169115,-0.00371313319010416,7680,66.387948170208
t,131,1000,2.04040015410255,46.9577853359526,-1.01447252193672,9418,23.0140079344419
t,131,950,2.56368392182152,45.0149546606699,-1.30867883735858,21655,17.5586991350659
t,131,600,0.813024498643202,41.7859181708008,0.057376883024055,5820,51.3956445845535
u,231,900,7.22513824774554,26.2633576405032,0.827291516320143,17892,3.63499724710433
u,231,850,7.82186915477524,27.5687843168087,1.26630782930542,15765,3.52457753655697
u,231,800,6.59958013724325,25.7788203619181,0.680187456734851,12955,3.90613036372436
u,231,750,9.16430528571555,24.3092828859232,0.108264148219795,11993,2.65260509422511
u,231,700,6.39069579509176,26.2100583655997,-0.175531106119371,9282,4.10128399253956
u,231,400,7.1090732870331,32.7321237378443,-0.239795606898368,11394,4.60427434297906
u,231,250,17.566770758326,34.4079582280312,-0.630043314943645,39127,1.95869569321516
u,231,350,10.0714565317543,33.9482222766919,-0.958220611446875,16546,3.37073611643526
u,231,200,15.2685318643603,30.6799366985577,-2.2682155315045,4666,2.00935734824451
u,231,300,8.73897155081308,32.8682697862107,-0.683711026332506,17317,3.7611141763189
u,231,550,5.57272350851847,27.7324625549492,0.447523021443515,7648,4.97646483134455
u,231,1000,6.09396667645085,24.3722550899856,-0.174089655480737,9059,3.99940734565685
u,231,950,5.92419430172018,22.778370302127,-0.706898813805376,21354,3.84497353429359
u,231,600,5.88022532902803,30.786082554551,-0.0185975393122516,5787,5.2355276935688
v,231,900,7.84132096475308,21.8744620169121,-1.01145881092108,17892,2.78963992358409
v,231,850,6.2768758807257,22.2169703109736,-1.56425209768474,15765,3.53949492281581
v,231,800,6.33338870607068,22.0348641613906,-0.612619216673099,12955,3.4791586596082
v,231,750,6.29502244228584,22.5466708397364,-0.755797137905445,11993,3.58166647481391
v,231,700,5.28300339087109,22.9121313236288,-0.546729081609567,9282,4.33695184887075
v,231,400,4.65988248233958,26.005896721072,0.787405052395998,11394,5.58080527129843
v,231,250,14.579422857269,24.8460457902976,-0.289319592680246,39127,1.70418582638954
v,231,350,5.39290790791539,26.3862285113001,0.600660800749426,16546,4.89276452738455
v,231,200,22.9051440663465,26.9064953282936,-0.368646225246464,4666,1.17469225473356
v,231,300,6.56607435174124,26.2339402351011,0.547010991782641,17317,3.99537666340074
v,231,550,5.05559934413941,25.1203218721132,0.599464441161088,7648,4.96881183854756
v,231,1000,5.43322289127948,22.3589257552238,-0.0118212697869522,9059,4.11522335870127
v,231,950,6.21327898389404,20.7982744053864,-1.08805636194624,21354,3.34739104091405
v,231,600,6.04858787207527,24.1613286762507,0.258956419561085,5787,3.99454040963795
t,131,650,1.13043421090192,53.0533287034395,0.0756291308479532,6840,46.931814511444
t,131,450,0.707885122718028,48.3859520005264,-0.0936000324734607,9420,68.3528307739277
t,131,500,0.586741443487935,61.9654016072507,-0.0181225420621469,7080,105.60938262498
u,231,650,5.02123703784439,28.426626375692,-0.574050258126195,6799,5.66127951368245
u,231,450,6.37378472631744,29.5260103154434,0.0487386562964536,9418,4.63241411237661
u,231,500,5.0866239321746,29.6781942284433,0.262623837346333,7077,5.83455640208013
v,231,650,5.19244923372946,24.0410392802974,0.498412632887189,6799,4.62999987060634
v,231,450,4.70459589082302,26.477934142063,0.332721633159907,9418,5.62809957678021
v,231,500,5.07377833894789,25.5497977323717,0.741531617100466,7077,5.03565509282177
t,120,950,3.43691213597087,208.889186871297,1.04648152692308,9360,60.7781574294711
t,120,850,2.09517201142435,95.0621013621214,1.13880016216667,6000,45.3719794096982
t,120,700,0.973569452238861,110.4578047298,1.10398743316667,6000,113.456522773786
t,120,500,0.739942907589803,129.61550595905,0.325799393191824,6360,175.169603802601
t,120,400,0.697526314893212,119.888314118018,-0.0631839225438597,7980,171.876403166772
t,120,300,0.841166479371906,109.475098622506,0.102891490860215,7440,130.146767978974
t,120,250,1.15145324329311,120.037322823902,-0.266889019577114,8040,104.248542894022
t,120,200,1.53144994797399,88.1910898701753,0.327773070382883,8880,57.5866615731363
t,120,150,1.73937350526184,86.7943004301157,0.299480039333188,9178,49.8997484827447
t,120,100,1.86942483530869,174.096521433371,0.017071902281746,10080,93.1283880181375
t,120,800,1.16346530892584,287.977421730265,0.99358514113924,4740,247.516981830887
t,120,750,1.00084192337418,154.370238876436,1.17114237083333,3840,154.240380295023
t,120,650,0.951782382929,68.7150992513883,0.982222553333333,2700,72.1962293942923
t,120,550,0.90637840752849,325.73081445109,0.594371709929078,2820,359.376185206454
t,120,350,0.742947682949101,210.375369179868,0.0850788914583333,4800,283.163100185994
t,120,75,2.23890754945487,300.781053813739,-0.529564871965812,11700,134.342775291
t,120,50,4.20149180000216,484.929739569491,0.974435840823529,5100,115.418466262208
t,120,1000,2.72192227358212,159.119737984323,1.69987862195513,6240,58.4585899195853
t,120,900,5.48841031650221,50.88587324046,0.333857345454545,3300,9.27151402792527
