var,type,stationID,mean.y,sd.y
t,187,SCJO,1.5138545984054,0.695401835292227
t,187,SCVD,0.588908427833431,1.29265027502668
t,181,85766,2.28641266265795,1.86375109621205
t,181,85782,1.4146178529894,0.929523414920302
t,187,SCIE,2.77350344430335,0.871389888223769
t,187,SCCH,0.967161526780956,0.895091574663232
t,181,85672,1.12762241627258,0.686801733606972
t,181,85682,3.03340263226311,1.09831155859941
t,187,SCGE,2.0762833581362,0.614276242743374
t,181,85586,1.26881805376279,0.998457687382624
t,187,SCVM,-0.267396242206132,1.37205340714522
t,187,SCSE,-0.633034014164977,0.714322834731617
t,181,85488,-0.676786160177185,0.579909922246213
t,187,SCAT,2.01657641501053,0.597505013187164
t,181,85442,2.23756593162755,0.546346035191014
t,187,SCFA,1.90361668932137,0.567396798824655
t,131,AG1000,-0.487979417888779,1.20986281676583
t,181,ARP03,1.63012883715214,1.44781388859678
t,187,SAZS,1.34824720462418,1.30497671021026
t,181,87765,1.32508216822944,1.37525334858709
t,181,87774,0.634722769524015,2.41850867380353
t,187,INT269,1.11658542239099,1.03649242863301
t,181,WUNIBARI,2.55580110829578,4.23239516843105
t,181,WUNINEUQ,2.19303081413597,1.75868050769744
t,181,WUNINNLO,1.50359581468341,1.8592409005233
t,181,WUNIRNBA,1.50660907675295,1.13281964911779
t,181,WUNIRNNI,0.811881237748881,0.867975499436791
t,181,SMN87761,1.91857237560553,0.983370611261742
t,181,SMN87765,0.692609027747186,1.21095686542744
t,181,SMN87774,-0.0360648018524508,2.56111815183821
t,181,EMARMA7_,-0.0334116453433606,1.61474882665034
t,181,INT519,-0.282049991918948,2.30261105479813
t,181,WUNIAELO,-0.128895364573338,1.22344607265405
t,187,SCIC,1.20273311710286,0.833901059457457
t,181,85629,1.400430392956,0.86239102772764
t,181,87506,0.120655362385812,2.26161455750984
t,181,87509,-0.662721234536315,2.140902171323
t,187,INT432,-1.11947766186617,2.6132219843437
t,187,INT482,-1.21196238793725,2.66048747739646
t,187,INT483,-0.659225454110306,2.87311460643253
t,187,MDZDACC1,-0.550439762878806,2.52784205750382
t,187,MDZDACC2,-0.868093732937724,2.24735060183797
t,187,MDZDACC3,-1.34111268116884,2.53073244571725
t,187,MDZDACC6,0.158392345250335,2.66119742325574
t,181,WUNIMEND,0.0268778707405202,2.14154099671923
t,181,SMN87412,-0.776524181211826,2.11648702017415
t,181,SMN87506,0.191442950567867,1.82040534904068
t,181,SMN87509,-0.836666493905586,1.72660076250797
t,181,WUNIMACH,2.82889225302241,2.94409183102647
t,187,SCEL,0.669456800659663,1.35355045115051
t,187,SAME,0.621849949153068,1.16628765040649
t,181,85574,0.600671084225616,1.33659599001159
t,181,85577,0.490057413267992,1.44139899733823
t,181,87418,0.559405655884599,1.32156256914629
t,181,87416,1.09599691929322,1.96855733685221
t,187,MDZDACC4,-0.554845322185888,3.07600253768933
t,187,MDZDACC5,-0.212335074968407,2.10935365060638
t,181,MDZDACC1,7.41162572270741,5.66116390204376
t,181,SMN87405,3.63759841408245,2.81179207639238
t,181,SMN87416,-0.0288318853793323,1.6506584779544
t,181,SMN87418,1.51661996299537,1.30327429607293
t,181,SMN87420,0.206558037839203,1.19309839935951
